"Run/Debug","EOF","Ctrl+Z","In I/O Console","org.eclipse.debug.ui.commands.eof"
"Run/Debug","Debug Ant Build","Alt+Shift+D, Q","In Windows","org.eclipse.ant.ui.antShortcut.debug"
"Run/Debug","Coverage JUnit Plug-in Test","Alt+Shift+E, P","In Windows","org.eclipse.eclemma.ui.junitPluginShortcut.coverage"
"Views","Show View (Cheat Sheets)","Alt+Shift+Q, H","In Windows","org.eclipse.ui.views.showView"
"Window","Update Project","Alt+F5","In Windows","org.eclipse.m2e.core.ui.command.updateProject"
"Window","Show System Menu","Alt+-","In Windows","org.eclipse.ui.window.showSystemMenu"
"File","Rename","F2","In Windows","org.eclipse.ui.edit.rename"
"Source","Remove Occurrence Annotations","Alt+Shift+U","Editing Java Source","org.eclipse.jdt.ui.edit.text.remove.occurrence.annotations"
"Text Editing","Reset Structure","Ctrl+Shift+Numpad_Multiply","Editing Text","org.eclipse.ui.edit.text.folding.restore"
"Run/Debug","Coverage TestNG Test","Alt+Shift+E, N","In Windows","org.eclipse.eclemma.ui.testNgShortcut.coverage"
"Views","Show View (Console)","Alt+Shift+Q, C","In Windows","org.eclipse.ui.views.showView"
"Run/Debug","Use Step Filters","Shift+F5","In Windows","org.eclipse.debug.ui.commands.ToggleStepFilters"
"Git","Copy Path to Clipboard","Ctrl+C","In Git Repositories View","org.eclipse.egit.ui.RepositoriesViewCopyPath"
"Text Editing","To Lower Case","Ctrl+Shift+Y","Editing Text","org.eclipse.ui.edit.text.lowerCase"
"Views","Show View (Declaration)","Alt+Shift+Q, D","In Windows","org.eclipse.ui.views.showView"
"Navigate","Quick Hierarchy","Ctrl+T","Editing Java Source","org.eclipse.jdt.ui.edit.text.java.open.hierarchy"
"Text Editing","Duplicate Lines","Ctrl+Alt+Up","Editing Text","org.eclipse.ui.edit.text.copyLineUp"
"Window","Previous Perspective","Ctrl+Shift+F8","In Windows","org.eclipse.ui.window.previousPerspective"
"Run/Debug","Coverage","Ctrl+Shift+F11","In Windows","org.eclipse.eclemma.ui.commands.CoverageLast"
"Views","Show View (Variables)","Alt+Shift+Q, V","In Windows","org.eclipse.ui.views.showView"
"Views","Show View (Package Explorer)","Alt+Shift+Q, P","In Windows","org.eclipse.ui.views.showView"
"Edit","Select Previous Element","Alt+Shift+Left","Editing Java Source","org.eclipse.jdt.ui.edit.text.java.select.previous"
"Window","Show Ruler Context Menu","Ctrl+F10","Editing Text","org.eclipse.ui.edit.text.showRulerContextMenu"
"Text Editing","Scroll Line Down","Ctrl+Down","Editing Text","org.eclipse.ui.edit.text.scroll.lineDown"
"Refactor - Java","Show Refactor Quick Menu","Alt+Shift+T","In Windows","org.eclipse.jdt.ui.edit.text.java.refactor.quickMenu"
"Search","Show Occurrences in File Quick Menu","Ctrl+Shift+U","In Windows","org.eclipse.jdt.ui.edit.text.java.search.occurrences.in.file.quickMenu"
"File","New","Ctrl+N","In Windows","org.eclipse.ui.newWizard"
"Run/Debug","Step Into Selection","Ctrl+F5","Debugging","org.eclipse.jdt.debug.ui.commands.StepIntoSelection"
"Run/Debug","Run Java Applet","Alt+Shift+X, A","In Windows","org.eclipse.jdt.debug.ui.javaAppletShortcut.run"
"Source","Organize Imports","Ctrl+Shift+O","In Windows","org.eclipse.jdt.ui.edit.text.java.organize.imports"
"Views","Show View (Problems)","Alt+Shift+Q, X","In Windows","org.eclipse.ui.views.showView"
"Run/Debug","Run","Ctrl+F11","In Windows","org.eclipse.debug.ui.commands.RunLast"
"Task Repositories","Mark Task Read","Alt+Shift+R","In Tasks Editor","org.eclipse.mylyn.tasks.ui.command.markTaskRead"
"Run/Debug","Run Ant Build","Alt+Shift+X, Q","In Windows","org.eclipse.ant.ui.antShortcut.run"
"Source","Quick Assist - Extract method","Ctrl+2, M","Editing Java Source","org.eclipse.jdt.ui.correction.extractMethodInplace.assist"
"Navigate","Open from Clipboard","Ctrl+Shift+V","In Windows","org.eclipse.jdt.debug.ui.command.OpenFromClipboard"
"Edit","Select Enclosing Element","Alt+Shift+Up","Editing Java Source","org.eclipse.jdt.ui.edit.text.java.select.enclosing"
"Text Editing","Toggle Overwrite","Insert","Editing Text","org.eclipse.ui.edit.text.toggleOverwrite"
"Navigate","Backward History","Alt+Left","In Windows","org.eclipse.ui.navigate.backwardHistory"
"Run/Debug","Terminate","Ctrl+F2","Debugging","org.eclipse.debug.ui.commands.Terminate"
"Run/Debug","Force Return","Alt+Shift+F","In Windows","org.eclipse.jdt.debug.ui.commands.ForceReturn"
"Run/Debug","Java Breakpoint Properties","Alt+Enter","In Breakpoints View","org.eclipse.jdt.debug.ui.breakpoint.properties"
"Run/Debug","Coverage RAP JUnit Test","Alt+Shift+E, R","In Windows","org.eclipse.eclemma.ui.junitRAPShortcut.coverage"
"Task Repositories","Open Selected Task","Ctrl+Enter","In Tasks View","org.eclipse.mylyn.tasks.ui.command.openSelectedTask"
"Navigate","Show In Breadcrumb","Alt+Shift+B","Editing Java Source","org.eclipse.jdt.ui.edit.text.java.gotoBreadcrumb"
"Window","Next Perspective","Ctrl+F8","In Windows","org.eclipse.ui.window.nextPerspective"
"Window","Maximize Active View or Editor","Ctrl+M","In Windows","org.eclipse.ui.window.maximizePart"
"Run/Debug","Add Memory Block","Ctrl+Alt+M","In Memory View","org.eclipse.debug.ui.commands.addMemoryMonitor"
"Refactor - Java","Inline","Alt+Shift+I","In Windows","org.eclipse.jdt.ui.edit.text.java.inline"
"Source","Open External Documentation","Shift+F2","Editing Ant Buildfiles","org.eclipse.ant.ui.openExternalDoc"
"Edit","Incremental Find","Ctrl+J","Editing Text","org.eclipse.ui.edit.findIncremental"
"Edit","Toggle Block Selection","Alt+Shift+A","Editing Text","org.eclipse.ui.edit.text.toggleBlockSelectionMode"
"Source","Toggle Comment","Ctrl+7","Editing Java Source","org.eclipse.jdt.ui.edit.text.java.toggle.comment"
"Source","Format","Ctrl+Shift+F","Editing Java Source","org.eclipse.jdt.ui.edit.text.java.format"
"Run/Debug","Coverage JUnit Test","Alt+Shift+E, T","In Windows","org.eclipse.eclemma.ui.junitShortcut.coverage"
"Run/Debug","Close Rendering","Ctrl+W","In Memory View","org.eclipse.debug.ui.commands.closeRendering"
"Run/Debug","Toggle Memory Monitors Pane","Ctrl+T","In Memory View","org.eclipse.debug.ui.commands.toggleMemoryMonitorsPane"
"Source","Surround With Quick Menu","Alt+Shift+Z","In Windows","org.eclipse.jdt.ui.edit.text.java.surround.with.quickMenu"
"Run/Debug","Toggle Breakpoint","Ctrl+Shift+B","In Windows","org.eclipse.debug.ui.commands.ToggleBreakpoint"
"Text Editing","Select Next Word","Ctrl+Shift+Right","Editing Text","org.eclipse.ui.edit.text.select.wordNext"
"File","New menu","Alt+Shift+N","In Windows","org.eclipse.ui.file.newQuickMenu"
"Edit","Paste","Ctrl+V","In Dialogs and Windows","org.eclipse.ui.edit.paste"
"Run/Debug","Step Return","F7","Debugging","org.eclipse.debug.ui.commands.StepReturn"
"Window","Switch to Editor","Ctrl+Shift+E","In Windows","org.eclipse.ui.window.switchToEditor"
"Edit","Toggle Comment","Ctrl+Shift+C","Editing in Structured Text Editors","org.eclipse.wst.sse.ui.toggle.comment"
"Edit","Select Next Element","Alt+Shift+Right","Editing in Structured Text Editors","org.eclipse.wst.sse.ui.structure.select.next"
"Source","Toggle Comment","Ctrl+/","Editing Properties Files","org.eclipse.jdt.ui.edit.text.java.toggle.comment"
"Task Repositories","New Local Task","Insert","In Tasks View","org.eclipse.mylyn.tasks.ui.command.new.local.task"
"Navigate","Quick Outline","Ctrl+O","WikiText Markup Source Context","org.eclipse.mylyn.wikitext.ui.quickOutlineCommand"
"Edit","Content Assist","Ctrl+Space","In Dialogs and Windows","org.eclipse.ui.edit.text.contentAssist.proposals"
"Uncategorized","Show Markup Cheat Sheet","F1","WikiText Markup Source Context","org.eclipse.mylyn.wikitext.ui.editor.showCheatSheetCommand"
"Edit","Delete","Delete","In Windows","org.eclipse.ui.edit.delete"
"Focused UI","Make Landmark","Ctrl+Alt+Shift+Up","In Windows","org.eclipse.mylyn.context.ui.commands.interest.increment"
"Task Repositories","Mark Task Unread","Alt+Shift+U","In Tasks View","org.eclipse.mylyn.tasks.ui.command.markTaskUnread"
"Navigate","Previous Sub-Tab","Alt+PageUp","In Dialogs and Windows","org.eclipse.ui.navigate.previousSubTab"
"Run/Debug","Display","Ctrl+Shift+D","In Dialogs and Windows","org.eclipse.jdt.debug.ui.commands.Display"
"Edit","Incremental Find Reverse","Ctrl+Shift+J","Editing Text","org.eclipse.ui.edit.findIncrementalReverse"
"Navigate","Open Declaration","F3","In Windows","org.eclipse.jdt.ui.edit.text.java.open.editor"
"Navigate","Go To Previous Unread Task","Alt+Up","In Tasks View","org.eclipse.mylyn.tasks.ui.command.goToPreviousUnread"
"Edit","Add Maven Plugin","Ctrl+Shift+P","Editing XML Source","org.eclipse.m2e.core.ui.command.addPlugin"
"Focused UI","Make Less Interesting","Ctrl+Alt+Shift+Down","In Windows","org.eclipse.mylyn.context.ui.commands.interest.decrement"
"Navigate","Next","Ctrl+.","In Windows","org.eclipse.ui.navigate.next"
"Run/Debug","Debug Java Applet","Alt+Shift+D, A","In Windows","org.eclipse.jdt.debug.ui.javaAppletShortcut.debug"
"Run/Debug","Next Page of Memory","Ctrl+Shift+.","In Table Memory Rendering","org.eclipse.debug.ui.command.nextpage"
"Navigate","Go to Next Member","Ctrl+Shift+Down","Editing Java Source","org.eclipse.jdt.ui.edit.text.java.goto.next.member"
"Task Repositories","New Subtask","Shift+Insert","In Tasks View","org.eclipse.mylyn.tasks.ui.command.new.subtask"
"Focused UI","Focus on Active Task","Alt+Shift+H","In Windows","org.eclipse.mylyn.context.ui.commands.toggle.focus.active.view"
"File","Close All","Ctrl+Shift+W","In Windows","org.eclipse.ui.file.closeAll"
"Views","Show View (Task List)","Alt+Shift+Q, K","In Windows","org.eclipse.ui.views.showView"
"Edit","Select Previous Element","Alt+Shift+Left","Editing in Structured Text Editors","org.eclipse.wst.sse.ui.structure.select.previous"
"Run/Debug","New Rendering","Ctrl+N","In Memory View","org.eclipse.debug.ui.commands.newRendering"
"Navigate","Search Repository for Task","Ctrl+Shift+F12","In Windows","org.eclipse.mylyn.tasks.ui.command.searchForTask"
"Text Editing","Collapse","Ctrl+Numpad_Subtract","Editing Text","org.eclipse.ui.edit.text.folding.collapse"
"Text Editing","Insert Line Above Current Line","Ctrl+Shift+Enter","Editing Text","org.eclipse.ui.edit.text.smartEnterInverse"
"Navigate","Go to Previous Member","Ctrl+Shift+Up","Editing Java Source","org.eclipse.jdt.ui.edit.text.java.goto.previous.member"
"Refactor - Java","Change Method Signature","Alt+Shift+C","In Windows","org.eclipse.jdt.ui.edit.text.java.modify.method.parameters"
"Window","Show View Menu","Ctrl+F10","In Dialogs and Windows","org.eclipse.ui.window.showViewMenu"
"Edit","Cut","Ctrl+X","In Dialogs and Windows","org.eclipse.ui.edit.cut"
"Navigate","Expand All","Ctrl+Shift+Numpad_Multiply","In Windows","org.eclipse.ui.navigate.expandAll"
"Run/Debug","Step Over","F6","Debugging","org.eclipse.debug.ui.commands.StepOver"
"Search","Find Text in Workspace","Ctrl+Alt+G","In Windows","org.eclipse.search.ui.performTextSearchWorkspace"
"Text Editing","Collapse All","Ctrl+Shift+Numpad_Divide","Editing Text","org.eclipse.ui.edit.text.folding.collapse_all"
"Navigate","Open Type in Hierarchy","Ctrl+Shift+H","In Windows","org.eclipse.jdt.ui.navigate.open.type.in.hierarchy"
"File","Close All","Ctrl+Shift+F4","In Windows","org.eclipse.ui.file.closeAll"
"Text Editing","Next Word","Ctrl+Right","Editing Text","org.eclipse.ui.edit.text.goto.wordNext"
"Text Editing","Delete to End of Line","Ctrl+Shift+Delete","Editing Text","org.eclipse.ui.edit.text.delete.line.to.end"
"Source","Show Source Quick Menu","Alt+Shift+S","In Windows","org.eclipse.jdt.ui.edit.text.java.source.quickMenu"
"Edit","Occurrences in File","Ctrl+Shift+A","Editing in Structured Text Editors","org.eclipse.wst.sse.ui.search.find.occurrences"
"Navigate","Quick Outline","Ctrl+O","Editing Java Source","org.eclipse.jdt.ui.edit.text.java.show.outline"
"Edit","Open Selection","F3","Editing in Structured Text Editors","org.eclipse.wst.sse.ui.open.file.from.source"
"Run/Debug","Run Gradle Test","Ctrl+Alt+X, G","In Windows","org.eclipse.buildship.ui.shortcut.test.run"
"Run/Debug","Inspect","Ctrl+Shift+I","In Dialogs and Windows","org.eclipse.jdt.debug.ui.commands.Inspect"
"Navigate","Go to Matching Bracket","Ctrl+Shift+P","Editing Java Source","org.eclipse.jdt.ui.edit.text.java.goto.matching.bracket"
"Text Editing","Show Tooltip Description","F2","Editing Text","org.eclipse.ui.edit.text.showInformation"
"Views","Show View","Alt+Shift+Q, Q","In Windows","org.eclipse.ui.views.showView"
"Text Editing","Toggle Folding","Ctrl+Numpad_Divide","Editing Text","org.eclipse.ui.edit.text.folding.toggle"
"Edit","Matching Tag","Ctrl+Shift+>","Editing in Structured Text Editors","org.eclipse.wst.xml.ui.gotoMatchingTag"
"Window","Quick Switch Editor","Ctrl+E","In Windows","org.eclipse.ui.window.openEditorDropDown"
"File","Save","Ctrl+S","In Windows","org.eclipse.ui.file.save"
"Edit","Restore Last Selection","Alt+Shift+Down","Editing in Structured Text Editors","org.eclipse.wst.sse.ui.structure.select.last"
"Navigate","Quick Outline","Ctrl+Shift+O","Task Markup Editor Source Context","org.eclipse.mylyn.wikitext.ui.quickOutlineCommand"
"Source","Annotate Class File","Ctrl+1","Browsing attached Java Source","org.eclipse.jdt.ui.edit.text.java.annotate.classFile"
"Run/Debug","Debug","F11","In Windows","org.eclipse.debug.ui.commands.DebugLast"
"Task Repositories","Mark Task Complete","Alt+Shift+C","In Tasks View","org.eclipse.mylyn.tasks.ui.command.markTaskComplete"
"Navigate","Matching Character","Ctrl+Shift+P","Editing in Structured Text Editors","org.eclipse.wst.sse.ui.goto.matching.bracket"
"Edit","Quick Fix","Ctrl+1","In Dialogs and Windows","org.eclipse.jdt.ui.edit.text.java.correction.assist.proposals"
"Views","Show View (Search)","Alt+Shift+Q, S","In Windows","org.eclipse.ui.views.showView"
"Text Editing","Select Line End","Shift+End","Editing Text","org.eclipse.ui.edit.text.select.lineEnd"
"Navigate","Show In...","Alt+Shift+W","In Windows","org.eclipse.ui.navigate.showInQuickMenu"
"Run/Debug","Coverage Eclipse Application","Alt+Shift+E, E","In Windows","org.eclipse.eclemma.ui.workbenchShortcut.coverage"
"File","Close","Ctrl+F4","In Windows","org.eclipse.ui.file.close"
"Window","Next Editor","Ctrl+F6","In Windows","org.eclipse.ui.window.nextEditor"
"Text Editing","Line Start","Home","Editing Text","org.eclipse.ui.edit.text.goto.lineStart"
"Text Editing","Expand All","Ctrl+Numpad_Multiply","Editing Text","org.eclipse.ui.edit.text.folding.expand_all"
"Source","Toggle Ant Mark Occurrences","Alt+Shift+O","Editing Ant Buildfiles","org.eclipse.ant.ui.toggleMarkOccurrences"
"Edit","Toggle Insert Mode","Ctrl+Shift+Insert","Editing Text","org.eclipse.ui.edit.text.toggleInsertMode"
"Navigate","Previous Page","Alt+Shift+F7","In Windows","org.eclipse.ui.part.previousPage"
"Run/Debug","Debug Java Application","Alt+Shift+D, J","In Windows","org.eclipse.jdt.debug.ui.localJavaShortcut.debug"
"Edit","Copy","Ctrl+Insert","In Dialogs and Windows","org.eclipse.ui.edit.copy"
"Source","Format","Ctrl+Shift+F","Editing Ant Buildfiles","org.eclipse.jdt.ui.edit.text.java.format"
"Task Editor","Submit Task","Alt+Shift+S","In Tasks Editor","org.eclipse.mylyn.tasks.ui.command.submitTask"
